N,Byte Sieve Time (ms),Bit Sieve Time (ms)
2,2760.02,12.05
4,1185.21,11.98
8,1187.92,11.97
16,1190.44,12.06
32,1191.51,12.00
64,1192.93,12.10
128,1195.34,12.05
256,1196.33,12.09
512,1196.81,12.09
1024,1199.35,12.10
2048,1200.80,12.11
4096,1200.45,12.09
8192,1202.28,12.18
16384,1202.34,12.11
32768,1203.69,12.14
65536,1204.27,12.21
131072,1206.63,12.25
262144,1207.53,13.03
524288,1208.87,12.54
1048576,1210.94,12.94
2097152,1210.12,13.67
4194304,1210.81,15.15
8388608,1211.09,18.12
16777216,1213.02,23.93
33554432,1212.86,35.04
67108864,1216.35,57.39
134217728,1220.19,99.49
268435456,1229.41,183.33
536870912,1249.92,351.64
1073741824,1288.93,687.38
