N,Byte Sieve Time (ms),Bit Sieve Time (ms)
2,887.05,11.21
4,683.65,11.23
8,680.04,11.62
16,683.95,11.31
32,685.51,11.32
64,684.08,11.41
128,685.00,11.35
256,686.99,11.38
512,687.50,11.47
1024,686.84,11.48
2048,688.33,11.40
4096,688.74,11.44
8192,688.81,11.59
16384,688.81,11.48
32768,689.84,11.55
65536,689.94,11.59
131072,689.43,11.78
262144,690.72,11.95
524288,690.14,12.50
1048576,690.50,13.56
2097152,690.95,15.71
4194304,692.22,19.74
8388608,695.23,28.03
16777216,697.65,44.03
33554432,702.19,75.38
67108864,717.34,136.46
134217728,749.86,260.16
268435456,812.81,505.92
536870912,937.93,998.59
1073741824,1190.03,1983.49
