N,Byte Sieve Time (ms),Bit Sieve Time (ms)
2,2377.38,11.38
4,1349.25,11.34
8,1352.48,11.54
16,1358.99,11.48
32,1357.25,11.54
64,1361.55,11.60
128,1362.92,11.41
256,1362.32,11.56
512,1364.26,11.48
1024,1366.17,11.48
2048,1367.58,11.48
4096,1368.72,11.58
8192,1370.14,11.58
16384,1370.46,11.57
32768,1370.75,11.57
65536,1373.26,11.65
131072,1373.30,11.82
262144,1378.51,12.10
524288,1379.10,12.69
1048576,1380.11,13.73
2097152,1381.04,15.89
4194304,1383.93,20.18
8388608,1383.13,28.30
16777216,1387.53,44.73
33554432,1395.86,75.81
67108864,1412.52,136.96
134217728,1443.57,260.25
268435456,1506.96,507.24
536870912,1634.22,999.59
1073741824,1887.20,1985.15
